GaiaDR3Id,Gaia-RA,Gaia-DEC,Gaia-G,Gaia-BP,Gaia-RP,plx,plx-err,pmra,pmra-err,pmdec,pmdec-err,ellr,Flamesfield,SpecName,N-Spec,combSN,aveVel,vel-err,vel-var,aveFeH,feh-err,feh-var,z,mem,feh-rel
5027219019074897536,14.9672950831,-33.7145339195,19.694,20.1778,19.1799,-0.2094,0.3586,0.576,0.318,0.052,0.206,0.062,2018.asa.c17,AS5271,1,8.73,114.24,3.05,0.0,-1.45,0.35,0.0,5.403,m,1
5027219225233358976,14.9677419412,-33.7042478095,19.7321,20.2623,19.1604,0.7429,0.3976,-0.035,0.35,-0.047,0.226,0.0597,2018.asa.c17,AS5325,1,10.19,105.42,1.97,0.0,-1.37,0.297,0.0,5.167,m,1
5027234652755312384,14.9695175697,-33.5108366513,18.4447,18.9416,17.8143,0.1606,0.1885,0.306,0.148,-0.281,0.104,0.2884,2006.gb108a,scl091tor_,2,14.65,119.09,1.052,0.0,-2.32,0.236,0.072,2.290,m,1
5027231186718987904,14.9708905962,-33.6552838137,16.8803,17.6344,16.0352,-0.0456,0.0619,0.094,0.053,-0.128,0.037,0.0915,2018.asa.c2,AS0034,1,109.95,111.09,0.13,0.0,-1.02,0.023,0.0,1.341,m,1
5003191563271212544,14.9718777545,-33.9946712901,20.2225,20.5167,19.6237,0.1819,0.6338,-0.315,0.464,-0.491,0.34,0.4279,2003.Scl07,scl_07_147,1,8.51,116.47,2.08,0.0,-1.95,0.436,0.0,2.503,m,1
5027219019074913536,14.9743059948,-33.7097949317,19.4297,19.8453,18.8387,0.7398,0.3216,-0.022,0.31,0.399,0.19,0.0547,2018.asa.c1,AS1583,1,10.39,113.9,2.62,0.0,-1.95,0.323,0.0,18.644,m,1
5003093397498534272,14.9748010692,-34.4807418762,19.7229,20.2169,19.1921,0.3044,0.4822,-0.507,0.358,0.616,0.279,1.1353,2007.gb206b,scl065_07_,1,11.04,120.93,2.76,0.0,-1.58,0.283,0.0,12.125,m,1
5027219019074904320,14.9779352304,-33.71307783,19.4649,20.011,18.8437,0.3551,0.3039,-0.083,0.293,-0.164,0.177,0.0526,2018.asa.c16,AS5001,1,12.79,123.74,1.27,0.0,-0.43,0.218,0.0,2.297,m,1
5027238501046041088,14.9786245444,-33.4255915772,19.5854,20.1343,18.9786,-0.2875,0.4103,-0.131,0.396,0.114,0.213,0.411,2018.asa.c12b,AS5150,1,9.78,106.5,2.81,0.0,-2.26,0.41,0.0,1.739,m,1
5027232866048896768,14.9789385648,-33.5482937168,19.6381,20.1723,19.0257,-0.1879,0.3852,0.282,0.441,-0.367,0.235,0.2341,2018.asa.c12b,AS5192,1,12.1,137.27,1.69,0.0,-1.96,0.286,0.0,1.524,m,1
5027231599033373824,14.9800120544,-33.6349196538,19.842,20.3534,19.2244,-0.3064,0.3934,0.724,0.36,-0.583,0.235,0.1135,2018.asa.c17,AS5437,1,10.9,100.68,1.76,0.0,-0.53,0.262,0.0,6.117,m,1
5003191494551734400,14.9806226292,-33.9995018296,19.8842,20.1533,19.5686,0.3224,0.4441,0.289,0.324,-0.705,0.235,0.4331,2003.Scl07,scl_07_139,1,9.86,100.83,2.72,0.0,-2.91,0.823,0.0,5.449,m,1
5027245854030084224,14.9869869679,-33.3007809484,19.1797,19.6609,18.5382,0.8284,0.3166,-0.415,0.266,-0.044,0.164,0.5926,2003.Scl04a,scl_04_082,2,14.72,109.1,1.412,7.901,-1.2,0.192,0.212,12.234,m,1
5003198881895893248,14.9872701338,-33.7602932775,19.7781,20.3113,19.174,0.3366,0.3454,-0.154,0.327,0.165,0.22,0.0912,2018.asa.c17,AS5367,1,7.76,108.65,2.26,0.0,-0.03,0.36,0.0,4.020,m,1
5027219843708234624,14.9883143785,-33.643803341,19.0867,19.6038,18.45,-0.4235,0.244,0.06,0.221,-0.016,0.142,0.0996,2018.asa.c16,AS0346,1,10.71,118.62,1.57,0.0,-1.03,0.264,0.0,3.586,m,1
5027238402264100608,14.9923112797,-33.4240302925,19.5103,19.9189,18.9468,-1.0327,0.397,-0.15,0.383,-0.063,0.205,0.4134,2018.asa.c12b,AS5069,1,11.07,114.08,1.61,0.0,-1.63,0.279,0.0,7.373,m,1
5027218194441112960,14.9964188009,-33.7380753239,19.6885,20.2278,19.0887,-0.7101,0.3564,0.291,0.342,0.482,0.212,0.0588,2018.asa.c17,AS5248,1,12.19,109.9,1.68,0.0,-0.58,0.233,0.0,15.212,m,1
5027219401328772608,14.9980987831,-33.6666158863,19.012,19.4145,18.5266,0.1286,0.2125,0.373,0.179,-0.287,0.13,0.0671,2018.asa.c16,AS0323,1,11.12,100.88,1.58,0.0,-1.91,0.284,0.0,2.554,m,1
